,Name,Year,School,Pos,PTS,TRB,AST,STL,BLK,TOV,NBAPTS,NBATRB,NBAAST,NBASTL,NBABLK,NBATOV
129,Luke Ridnour,2004.0,Oregon,PG,19.7,3.4,6.6,1.9,0.1,3.9,5.5,1.6,2.4,0.8,0.1,1.2
130,Reece Gaines,2004.0,Louisville,PG,17.9,2.9,5.0,1.7,0.1,3.0,1.8,1.0,1.1,0.3,0.1,0.5
131,Troy Bell,2004.0,Boston College,PG,25.2,4.6,3.7,2.3,0.2,2.5,1.8,0.7,0.7,0.2,0.0,1.0
132,David West,2004.0,Xavier,PF,20.1,11.8,3.2,1.3,1.6,2.7,3.8,4.2,0.8,0.4,0.4,0.7
133,Dahntay Jones,2004.0,Duke,SG,17.7,5.5,0.9,1.2,0.5,1.9,1.8,1.2,0.6,0.3,0.3,0.6
134,Brian Cook,2004.0,Illinois,C,20.0,7.6,2.0,0.7,0.4,2.8,4.4,2.9,0.6,0.5,0.5,0.5
135,Josh Howard,2004.0,Wake Forest,SF,19.5,8.3,1.9,2.1,1.5,2.6,8.6,5.5,1.4,1.0,0.8,1.0
136,Jason Kapono,2004.0,UCLA,SF,16.8,5.2,2.0,0.6,0.0,2.1,3.5,1.3,0.3,0.3,0.0,0.5
137,Luke Walton,2004.0,Arizona,PF,10.8,5.6,5.1,0.9,0.3,2.8,2.4,1.8,1.6,0.4,0.1,0.6
139,Travis Hansen,2004.0,BYU,SF,16.8,4.8,2.4,0.9,0.6,2.6,3.0,1.7,0.5,0.2,0.2,0.4
140,Steve Blake,2004.0,Maryland,PG,11.6,3.7,7.1,1.6,0.2,3.2,5.9,1.6,2.8,0.8,0.1,1.7
141,Derrick Zimmerman,2006.0,Mississippi State,PG,8.9,4.2,5.5,1.9,0.8,3.4,2.0,2.0,3.5,0.0,0.0,2.0
142,Willie Green,2004.0,Detroit,SG,22.6,4.9,2.5,1.3,0.4,2.3,6.9,1.2,1.0,0.5,0.1,1.1
143,Keith Bogans,2004.0,Kentucky,SF,15.7,3.8,2.7,1.2,0.1,2.2,6.8,4.3,1.3,0.6,0.1,1.0
