,Name,Year,School,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,TRB,AST,STL,BLK,TOV,PF,NBATM,NBAPTS,NBATRB,NBAAST,NBASTL,NBABLK,NBATOV,Draft Position,Position Type
485,Jeremy Lamb,2013.0,UConn,34,37.2,6.4,13.4,.478,4.3,7.1,.601,2.1,6.2,.336,2.9,3.6,.810,17.7,4.9,1.7,1.2,0.6,2.0,1.7,OKC,3.1,0.8,0.2,0.1,0.1,0.3,12,SF
486,Kendall Marshall,2013.0,UNC,36,33.0,2.9,6.3,.467,2.1,4.1,.527,0.8,2.2,.354,1.5,2.2,.696,8.1,2.6,9.8,1.2,0.2,2.8,1.6,PHO,3.0,0.9,3.0,0.5,0.1,1.2,13,PG
487,John Henson,2013.0,UNC,35,29.1,5.9,11.7,.500,5.9,11.7,.500,0.0,0.0,,2.0,3.9,.511,13.7,9.9,1.3,0.6,2.9,1.3,1.6,MIL,6.0,4.7,0.5,0.3,0.7,0.7,14,PF
488,Maurice Harkless,2013.0,St. John's (NY),32,36.1,6.0,13.3,.452,5.5,10.9,.506,0.5,2.5,.215,2.9,4.3,.676,15.5,8.6,1.5,1.6,1.4,2.5,2.3,ORL,8.2,4.4,0.7,1.2,0.8,0.9,15,SF
489,Royce White,2014.0,Iowa State,34,31.5,5.1,9.6,.534,5.0,9.3,.541,0.1,0.4,.333,3.0,6.0,.498,13.4,9.3,5.0,1.2,0.9,3.8,2.6,SAC,0.0,0.0,0.0,0.0,0.0,0.0,16,PF
490,Tyler Zeller,2013.0,UNC,38,28.2,5.8,10.5,.553,5.8,10.5,.553,0.0,0.0,,4.8,5.9,.808,16.3,9.6,0.9,0.9,1.5,1.9,2.7,CLE,7.9,5.7,1.2,0.5,0.9,1.2,17,C
491,Terrence Jones,2013.0,Kentucky,38,29.3,4.7,9.3,.500,4.2,8.0,.528,0.4,1.3,.327,2.6,4.2,.627,12.3,7.2,1.3,1.3,1.8,1.6,2.4,HOU,5.5,3.4,0.8,0.6,1.0,0.7,18,PF
492,Andrew Nicholson,2013.0,St. Bonaventure,32,30.1,6.9,12.0,.571,6.2,10.4,.593,0.7,1.7,.434,4.0,5.2,.776,18.5,8.4,1.0,0.7,2.0,2.5,2.8,ORL,7.8,3.4,0.6,0.3,0.4,1.1,19,PF
493,Jared Sullinger,2013.0,Ohio State,37,30.4,6.2,11.9,.519,5.7,10.8,.531,0.4,1.1,.400,4.7,6.2,.768,17.5,9.2,1.2,1.2,1.1,1.9,2.9,BOS,6.0,5.9,0.8,0.5,0.5,0.6,21,PF
494,Fab Melo,2013.0,Syracuse,30,25.4,3.3,5.8,.566,3.3,5.8,.566,0.0,0.0,,1.3,2.0,.633,7.8,5.8,0.7,0.5,2.9,1.4,2.8,BOS,1.2,0.5,0.0,0.3,0.3,0.2,22,C
495,John Jenkins,2013.0,Vanderbilt,35,33.6,6.2,13.1,.474,2.4,4.4,.542,3.8,8.7,.439,3.7,4.4,.837,19.9,2.9,1.2,0.8,0.3,1.6,1.2,ATL,6.1,1.5,0.9,0.2,0.2,0.7,23,SG
496,Tony Wroten,2013.0,Washington,35,30.3,5.7,12.8,.443,5.4,11.2,.483,0.3,1.6,.161,4.4,7.5,.583,16.0,5.0,3.7,1.9,0.4,3.8,2.7,MEM,2.6,0.8,1.2,0.2,0.1,0.8,25,SG
497,Miles Plumlee,2013.0,Duke,34,20.5,2.6,4.3,.610,2.6,4.3,.610,0.0,0.0,,1.4,2.2,.632,6.6,7.1,0.5,0.5,0.9,1.2,2.3,IND,0.9,1.6,0.1,0.0,0.2,0.2,26,C
498,Arnett Moultrie,2013.0,Mississippi State,30,35.8,6.0,10.9,.549,5.7,10.3,.555,0.3,0.6,.444,4.1,5.3,.780,16.4,10.5,1.2,0.8,0.8,2.4,2.2,PHI,3.7,3.1,0.2,0.4,0.2,0.4,27,PF
499,Perry Jones,2013.0,Baylor,33,30.7,5.5,11.0,.500,5.2,10.0,.520,0.3,1.0,.303,2.2,3.1,.696,13.5,7.6,1.3,0.8,0.6,1.7,2.3,OKC,2.3,1.6,0.3,0.1,0.2,0.4,28,SF
500,Marquis Teague,2013.0,Kentucky,40,32.6,3.6,8.8,.412,3.0,6.8,.438,0.7,2.0,.325,2.1,3.0,.714,10.0,2.5,4.8,0.9,0.3,2.7,2.3,CHI,2.1,0.9,1.3,0.2,0.1,0.7,29,PG
501,Festus Ezeli,2013.0,Vanderbilt,26,23.2,3.4,6.3,.539,3.4,6.3,.539,0.0,0.0,,3.2,5.3,.604,10.1,5.9,0.3,0.4,2.0,2.2,3.2,GSW,2.4,4.0,0.3,0.3,0.9,0.8,30,C
502,Jeffery Taylor,2013.0,Vanderbilt,36,32.1,5.8,11.8,.493,4.0,7.5,.533,1.8,4.3,.423,2.6,4.4,.605,16.1,5.6,1.7,1.3,0.4,2.2,1.9,CHA,6.1,1.9,0.8,0.6,0.2,0.6,31,SF
503,Jae Crowder,2013.0,Marquette,35,32.9,6.2,12.5,.498,4.5,7.4,.602,1.7,5.1,.345,3.4,4.6,.735,17.5,8.4,2.1,2.5,1.0,1.3,2.7,DAL,5.0,2.4,1.2,0.8,0.2,0.6,34,SF
