,Name,Year,School,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,TRB,AST,STL,BLK,TOV,PF,NBATM,NBAPTS,NBATRB,NBAAST,NBASTL,NBABLK,NBATOV,Draft Position,Position Type
652,Tyler Ulis,2017.0,Kentucky,35,36.8,5.5,12.6,.434,3.9,8.1,.486,1.6,4.6,.344,4.8,5.6,.856,17.3,3.0,7.0,1.5,0.1,2.0,1.8,PHO,7.3,1.6,3.7,0.8,0.1,1.3,34,PG
653,Malcolm Brogdon,2017.0,Virginia,37,34.1,6.2,13.6,.457,4.2,8.4,.498,2.0,5.2,.391,3.8,4.2,.897,18.2,4.1,3.1,0.9,0.2,1.4,2.1,MIL,10.2,2.8,4.2,1.1,0.2,1.5,36,SG
654,Chinanu Onuaku,2017.0,Louisville,31,24.6,4.4,7.1,.620,4.4,7.1,.623,0.0,0.0,.000,1.1,1.8,.589,9.9,8.5,1.6,0.8,2.0,2.1,3.0,HOU,2.8,2.0,0.6,0.6,0.2,0.8,37,C
655,Patrick McCaw,2017.0,UNLV,33,33.7,5.1,10.9,.465,3.0,5.3,.571,2.1,5.6,.366,2.5,3.2,.774,14.7,5.1,3.9,2.5,0.4,2.1,2.2,GSW,4.0,1.4,1.1,0.5,0.2,0.5,38,SG
656,Diamond Stone,2017.0,Maryland,35,23.1,4.8,8.4,.568,4.8,8.4,.568,0.0,0.0,,2.9,3.8,.761,12.5,5.4,0.4,0.5,1.6,1.5,2.3,LAC,1.4,0.9,0.0,0.0,0.1,0.3,40,C
657,Isaiah Whitehead,2017.0,Seton Hall,34,32.3,5.7,15.1,.379,3.3,8.5,.390,2.4,6.5,.365,4.4,5.8,.760,18.2,3.6,5.1,1.2,1.4,3.5,2.3,BRK,7.4,2.5,2.6,0.6,0.5,1.9,42,PG
658,Jake Layman,2017.0,Maryland,36,30.9,3.9,7.8,.500,2.3,3.8,.610,1.6,4.0,.396,2.2,2.6,.832,11.6,5.3,1.1,1.1,1.0,1.7,1.9,POR,2.2,0.7,0.3,0.3,0.1,0.3,47,SF
659,Michael Gbinije,2017.0,Syracuse,37,37.9,6.1,13.2,.461,3.6,6.9,.525,2.5,6.3,.391,2.9,4.3,.663,17.5,4.1,4.3,1.9,0.4,2.8,2.6,DET,0.4,0.3,0.2,0.0,0.0,0.0,49,SG
660,Georges Niang,2017.0,Iowa State,35,33.2,8.1,14.8,.546,6.5,10.7,.605,1.6,4.1,.392,2.7,3.4,.807,20.5,6.2,3.3,0.9,0.6,2.6,3.2,IND,0.9,0.7,0.2,0.1,0.0,0.2,50,PF
661,Ben Bentil,2017.0,Providence,35,34.2,7.0,15.2,.462,5.5,10.7,.517,1.5,4.5,.329,5.5,7.1,.782,21.1,7.7,1.1,0.9,1.0,1.9,2.8,DAL,0.0,0.7,0.0,0.0,0.0,0.3,51,PF
662,Joel Bolomboy,2017.0,Weber State,33,31.5,5.8,10.2,.573,5.2,8.5,.613,0.6,1.7,.364,4.8,6.9,.697,17.1,12.6,1.1,0.7,1.2,2.4,2.2,UTA,1.8,1.4,0.2,0.1,0.2,0.2,52,PF
663,Marcus Paige,2018.0,UNC,34,31.6,4.3,10.9,.397,2.0,4.4,.460,2.3,6.5,.355,2.4,3.0,.796,13.4,2.5,3.7,1.1,0.4,1.2,1.5,CHO,2.4,0.8,0.6,0.0,0.0,0.0,55,PG
664,Daniel Hamilton,2018.0,UConn,36,31.9,4.4,11.4,.387,3.1,7.5,.416,1.3,3.9,.331,2.4,2.8,.860,12.5,8.9,4.7,1.1,0.4,2.4,1.8,OKC,2.0,0.8,1.3,0.2,0.0,0.3,56,SG
665,Abdel Nader,2018.0,Iowa State,35,31.1,4.6,9.6,.478,3.1,5.6,.553,1.5,4.0,.371,2.2,3.0,.736,12.9,5.0,1.5,1.1,0.7,2.3,2.8,BOS,3.0,1.5,0.5,0.3,0.2,0.7,58,SF
667,Tyrone Wallace,2018.0,California,28,32.2,5.4,12.3,.440,4.5,9.3,.486,0.9,3.0,.298,3.6,5.5,.649,15.3,5.3,4.4,1.0,0.4,2.6,2.3,LAC,9.7,3.5,2.4,0.9,0.4,1.5,60,PG
668,Markelle Fultz,2018.0,Washington,25,35.7,8.4,17.6,.476,6.3,12.5,.502,2.1,5.0,.413,4.4,6.7,.649,23.2,5.7,5.9,1.6,1.2,3.2,2.5,PHI,7.1,3.1,3.8,0.9,0.3,1.2,1,SG
669,Lonzo Ball,2018.0,UCLA,36,35.1,5.3,9.5,.551,3.0,4.1,.732,2.2,5.4,.412,1.8,2.7,.673,14.6,6.0,7.6,1.8,0.8,2.5,1.8,LAL,10.2,6.9,7.2,1.7,0.8,2.6,2,PG
670,Jayson Tatum,2018.0,Duke,29,33.3,5.7,12.6,.452,4.3,8.6,.504,1.4,4.0,.342,4.1,4.8,.849,16.8,7.3,2.1,1.3,1.1,2.6,3.0,BOS,13.9,5.0,1.6,1.0,0.7,1.4,3,SF
671,Jonathan Isaac,2018.0,Florida State,32,26.2,4.1,8.0,.508,3.1,5.2,.593,1.0,2.8,.348,2.9,3.7,.780,12.0,7.8,1.2,1.2,1.5,1.5,2.2,ORL,5.4,3.7,0.7,1.2,1.1,1.0,6,PF
672,Lauri Markkanen,2018.0,Arizona,37,30.8,5.0,10.2,.492,3.1,5.8,.545,1.9,4.4,.423,3.7,4.4,.835,15.6,7.2,0.9,0.4,0.5,1.1,2.0,CHI,15.2,7.5,1.2,0.6,0.6,1.2,7,PF
673,Zach Collins,2018.0,Gonzaga,39,17.3,3.5,5.3,.652,3.2,4.8,.672,0.3,0.5,.476,2.8,3.8,.743,10.0,5.9,0.4,0.5,1.8,1.5,2.7,POR,4.4,3.3,0.8,0.3,0.5,0.9,10,C
674,Malik Monk,2018.0,Kentucky,38,32.1,6.6,14.7,.450,3.9,7.8,.497,2.7,6.9,.397,3.9,4.7,.822,19.8,2.5,2.3,0.9,0.5,2.0,1.9,CHO,6.7,1.0,1.4,0.3,0.1,0.8,11,SG
675,Luke Kennard,2018.0,Duke,37,35.5,6.4,13.1,.489,4.0,7.7,.525,2.4,5.4,.438,4.3,5.1,.856,19.5,5.1,2.5,0.8,0.4,1.6,2.2,DET,7.6,2.4,1.7,0.6,0.2,0.9,12,SG
676,Donovan Mitchell,2018.0,Louisville,34,32.3,5.3,13.1,.408,3.0,6.4,.463,2.4,6.6,.354,2.6,3.2,.806,15.6,4.9,2.7,2.1,0.5,1.6,2.6,UTA,20.5,3.7,3.7,1.5,0.3,2.7,13,SG
677,Justin Patton,2018.0,Creighton,35,25.3,5.7,8.5,.676,5.5,8.0,.683,0.2,0.4,.533,1.3,2.5,.517,12.9,6.2,1.2,0.9,1.4,1.7,2.7,MIN,2.0,0.0,0.0,1.0,0.0,0.0,16,C
678,John Collins,2018.0,Wake Forest,33,26.6,7.1,11.4,.622,7.1,11.4,.624,0.0,0.0,.000,5.0,6.7,.745,19.2,9.8,0.5,0.6,1.6,1.8,3.0,ATL,10.5,7.3,1.3,0.6,1.1,1.4,19,PF
679,Harry Giles,2019.0,Duke,26,11.5,1.7,3.0,.577,1.7,3.0,.577,0.0,0.0,,0.5,0.9,.500,3.9,3.8,0.3,0.3,0.7,0.7,2.2,SAC,7.0,3.8,1.5,0.5,0.4,1.3,20,PF
680,Jarrett Allen,2018.0,Texas,33,32.2,5.4,9.6,.566,5.4,9.4,.579,0.0,0.2,.000,2.5,4.5,.564,13.4,8.4,0.8,0.6,1.5,2.5,2.1,BRK,8.2,5.4,0.7,0.4,1.2,1.1,22,C
681,OG Anunoby,2018.0,Indiana,16,25.1,4.3,7.6,.557,3.4,4.8,.701,0.9,2.8,.311,1.7,3.0,.563,11.1,5.4,1.4,1.3,1.3,1.6,2.1,TOR,5.9,2.5,0.7,0.7,0.2,0.6,23,SF
682,Tyler Lydon,2018.0,Syracuse,34,36.1,4.4,9.4,.473,3.0,5.7,.523,1.4,3.6,.395,2.9,3.4,.836,13.2,8.6,2.1,1.0,1.4,1.7,2.5,DEN,0.0,0.0,0.0,0.0,0.0,0.0,24,PF
683,Caleb Swanigan,2018.0,Purdue,35,32.5,6.3,12.0,.527,5.3,9.6,.548,1.1,2.4,.447,4.7,6.0,.781,18.5,12.5,3.1,0.4,0.8,3.4,2.8,POR,2.3,2.0,0.5,0.2,0.1,0.7,26,PF
684,Kyle Kuzma,2018.0,Utah,29,30.8,6.3,12.4,.504,5.3,9.6,.560,0.9,2.9,.321,2.9,4.4,.669,16.4,9.3,2.4,0.6,0.5,2.1,1.6,LAL,16.1,6.3,1.8,0.6,0.4,1.8,27,PF
685,Tony Bradley,2018.0,UNC,38,14.6,2.7,4.7,.573,2.7,4.7,.573,0.0,0.0,,1.7,2.8,.619,7.1,5.1,0.6,0.3,0.6,0.7,1.8,UTA,0.9,1.2,0.1,0.0,0.0,0.0,28,C
686,Derrick White,2018.0,Colorado,34,32.8,6.0,11.9,.507,4.4,7.6,.569,1.7,4.2,.396,4.4,5.4,.813,18.1,4.1,4.4,1.2,1.4,2.4,2.1,SAS,3.2,1.5,0.5,0.2,0.2,0.4,29,PG
687,Josh Hart,2018.0,Villanova,36,33.1,6.6,12.9,.510,4.5,7.8,.579,2.1,5.1,.404,3.5,4.7,.747,18.7,6.4,2.9,1.6,0.3,2.0,2.3,LAL,7.9,4.2,1.3,0.7,0.3,0.7,30,SG
688,Davon Reed,2018.0,Miami (FL),33,35.3,4.9,11.3,.433,2.5,5.2,.474,2.4,6.0,.397,2.7,3.3,.833,14.9,4.8,2.4,1.3,0.5,2.0,1.6,PHO,3.0,1.9,0.6,0.5,0.1,0.5,32,SG
689,Wesley Iwundu,2018.0,Kansas State,35,31.4,4.3,9.0,.481,3.4,6.5,.520,0.9,2.4,.376,3.5,4.5,.767,13.0,6.3,3.5,1.0,0.3,2.3,1.8,ORL,3.7,2.2,0.9,0.5,0.2,0.5,33,SF
690,Frank Mason,2018.0,Kansas,36,36.1,6.7,13.7,.490,4.4,8.8,.500,2.3,4.8,.471,5.3,6.6,.794,20.9,4.2,5.2,1.3,0.1,2.4,2.0,SAC,7.9,2.5,2.8,0.7,0.2,1.3,34,PG
691,Ivan Rabb,2018.0,California,31,32.6,4.9,10.1,.484,4.6,9.4,.490,0.3,0.6,.400,4.0,6.0,.663,14.0,10.5,1.5,0.7,1.0,2.2,3.1,MEM,5.6,4.4,0.9,0.3,0.4,1.0,35,PF
692,Semi Ojeleye,2018.0,SMU,35,34.1,6.0,12.3,.487,3.9,7.4,.529,2.1,4.9,.424,4.9,6.3,.785,19.0,6.9,1.5,0.4,0.4,1.4,1.8,BOS,2.7,2.2,0.3,0.3,0.1,0.3,37,PF
693,Jordan Bell,2018.0,Oregon,39,28.8,4.4,6.9,.636,4.3,6.5,.659,0.1,0.4,.214,2.1,3.0,.701,10.9,8.8,1.8,1.3,2.3,1.9,1.7,GSW,4.6,3.6,1.8,0.6,1.0,0.9,38,C
694,Jawun Evans,2018.0,Oklahoma State,32,29.3,6.6,15.1,.438,5.5,12.1,.452,1.1,3.0,.379,4.8,6.0,.812,19.2,3.4,6.4,1.8,0.1,2.8,2.3,LAC,4.8,1.8,2.1,0.8,0.1,0.9,39,PG
695,Dwayne Bacon,2018.0,Florida State,35,28.8,6.3,14.0,.452,4.7,9.1,.516,1.6,4.9,.333,3.0,3.9,.754,17.2,4.2,1.7,1.0,0.1,2.0,1.6,CHO,3.3,2.3,0.7,0.3,0.0,0.4,40,SG
696,Tyler Dorsey,2018.0,Oregon,39,30.0,4.8,10.4,.467,2.6,5.1,.513,2.3,5.3,.423,2.7,3.6,.755,14.6,3.5,1.7,0.8,0.1,1.5,1.5,ATL,7.2,2.3,1.4,0.3,0.1,0.7,41,SG
697,Thomas Bryant,2018.0,Indiana,34,28.1,4.4,8.4,.519,3.7,6.6,.556,0.7,1.8,.383,3.2,4.4,.730,12.6,6.6,1.5,0.8,1.5,2.3,3.1,LAL,1.5,1.1,0.4,0.1,0.1,0.1,42,C
698,Damyean Dotson,2018.0,Houston,32,34.3,6.3,13.4,.470,2.9,5.8,.505,3.4,7.6,.443,1.4,1.7,.830,17.4,6.9,1.1,0.9,0.2,1.0,1.7,NYK,4.1,1.9,0.7,0.3,0.0,0.4,44,SG
699,Dillon Brooks,2018.0,Oregon,35,25.3,5.9,12.1,.488,4.3,8.0,.532,1.6,4.1,.401,2.7,3.6,.754,16.1,3.2,2.7,1.1,0.5,2.1,2.8,MEM,11.0,3.1,1.6,0.9,0.2,1.5,45,SF
700,Ike Anigbogu,2018.0,UCLA,29,13.0,2.0,3.5,.564,2.0,3.5,.564,0.0,0.0,,0.8,1.5,.535,4.7,4.0,0.2,0.2,1.2,0.8,2.5,IND,1.2,0.8,0.0,0.1,0.3,0.2,47,C
701,Sindarius Thornwell,2018.0,South Carolina,31,33.9,6.3,14.2,.444,4.4,9.4,.471,1.9,4.8,.392,6.9,8.4,.830,21.4,7.1,2.8,2.1,1.0,2.5,2.3,LAC,3.9,1.9,0.9,0.7,0.3,0.7,48,SG
702,Monte Morris,2018.0,Iowa State,35,35.3,6.2,13.3,.465,4.6,9.2,.503,1.5,4.1,.378,2.5,3.2,.802,16.4,4.8,6.2,1.5,0.3,1.2,1.5,DEN,3.3,0.7,2.3,1.0,0.0,0.3,51,PG
703,Edmond Sumner,2018.0,Xavier,21,33.1,4.8,10.0,.479,4.2,8.0,.533,0.6,2.1,.273,4.8,6.5,.735,15.0,4.3,5.0,1.3,0.8,2.8,2.4,IND,2.0,1.0,0.0,0.0,0.0,0.0,52,PG
704,Kadeem Allen,2018.0,Arizona,34,30.0,3.1,6.9,.453,2.2,4.7,.466,0.9,2.2,.427,2.5,3.4,.741,9.8,4.0,3.0,1.6,0.6,1.9,2.4,BOS,1.1,0.6,0.7,0.2,0.1,0.5,53,PG
705,Alec Peters,2018.0,Valparaiso,29,35.1,7.5,16.1,.466,5.5,10.6,.519,2.0,5.5,.363,5.9,6.7,.887,23.0,10.1,2.2,0.8,0.4,2.4,2.2,PHO,4.1,1.9,0.6,0.1,0.1,0.2,54,PF
707,Jabari Bird,2018.0,California,27,32.0,5.2,11.8,.440,2.8,5.2,.536,2.4,6.6,.365,1.6,2.0,.764,14.3,4.7,1.0,0.7,0.2,1.9,1.9,BOS,3.0,1.5,0.6,0.2,0.1,0.6,56,SG
708,Jaron Blossomgame,2019.0,Clemson,33,34.3,6.7,13.4,.499,5.9,10.5,.565,0.7,2.8,.255,3.6,5.1,.714,17.7,6.3,1.5,0.8,0.9,1.7,1.6,CLE,4.2,3.6,0.5,0.3,0.3,0.4,59,SF
709,Deandre Ayton,2019.0,Arizona,35,33.5,7.9,12.9,.612,7.5,11.9,.635,0.3,1.0,.343,4.0,5.5,.733,20.1,11.6,1.6,0.6,1.9,2.0,2.3,PHO,16.3,10.3,1.8,0.9,0.9,1.8,1,C
710,Trae Young,2019.0,Oklahoma,32,35.4,8.2,19.3,.422,4.5,9.1,.493,3.7,10.3,.360,7.4,8.6,.861,27.4,3.9,8.7,1.7,0.3,5.2,1.8,ATL,19.1,3.7,8.1,0.9,0.2,3.8,5,PG
711,Mohamed Bamba,2019.0,Texas,30,30.2,4.9,9.0,.541,4.4,7.3,.603,0.5,1.7,.275,2.7,4.0,.681,12.9,10.5,0.5,0.8,3.7,1.5,2.5,ORL,6.2,5.0,0.8,0.3,1.4,0.9,6,C
712,Collin Sexton,2019.0,Alabama,33,29.9,5.9,13.3,.447,4.6,9.3,.495,1.3,4.0,.336,5.9,7.6,.778,19.2,3.8,3.6,0.8,0.1,2.8,2.5,CLE,16.7,2.9,3.0,0.5,0.1,2.3,8,PG
713,Kevin Knox,2019.0,Kentucky,37,32.4,5.3,11.9,.445,3.8,7.4,.509,1.5,4.5,.341,3.4,4.4,.774,15.6,5.4,1.4,0.8,0.3,2.3,2.2,NYK,12.8,4.5,1.1,0.6,0.3,1.5,9,PF
714,Mikal Bridges,2019.0,Villanova,40,32.1,6.1,11.9,.514,3.5,5.9,.593,2.6,6.0,.435,2.9,3.4,.851,17.7,5.3,1.9,1.5,1.1,1.4,2.2,PHO,8.3,3.2,2.1,1.6,0.5,0.9,10,SF
715,Shai Gilgeous-Alexander,2019.0,Kentucky,37,33.7,4.9,10.2,.485,4.3,8.6,.500,0.6,1.5,.404,3.9,4.7,.817,14.4,4.1,5.1,1.6,0.5,2.7,1.7,LAC,10.8,2.8,3.3,1.2,0.5,1.7,11,PG
716,Miles Bridges,2019.0,Michigan State,34,31.4,6.1,13.4,.457,4.1,7.7,.527,2.1,5.7,.364,2.7,3.2,.853,17.1,7.0,2.7,0.6,0.8,2.0,1.6,CHO,7.5,4.0,1.2,0.7,0.6,0.6,12,SF
717,Zhaire Smith,2019.0,Texas Tech,37,28.4,4.2,7.5,.556,3.7,6.4,.574,0.5,1.1,.450,2.5,3.4,.717,11.3,5.0,1.8,1.1,1.1,1.1,1.8,PHI,6.7,2.2,1.7,0.3,0.3,1.0,16,SG
718,Donte DiVincenzo,2019.0,Villanova,40,29.3,4.7,9.8,.481,2.6,4.5,.575,2.1,5.3,.401,1.9,2.7,.710,13.4,4.8,3.5,1.1,0.2,2.0,2.1,MIL,4.9,2.4,1.1,0.5,0.2,0.7,17,SG
719,Kevin Huerter,2019.0,Maryland,32,34.4,5.1,10.1,.503,2.8,4.6,.605,2.3,5.5,.417,2.3,3.1,.758,14.8,5.0,3.4,0.6,0.7,2.5,2.4,ATL,9.7,3.3,2.9,0.9,0.3,1.5,19,SG
720,Josh Okogie,2019.0,Georgia Tech,24,36.4,5.5,13.3,.416,4.0,9.2,.432,1.6,4.2,.380,5.5,6.8,.821,18.2,6.3,2.5,1.8,1.0,2.5,2.9,MIN,7.7,2.9,1.2,1.2,0.4,0.9,20,SG
721,Grayson Allen,2019.0,Duke,37,35.6,4.9,11.7,.418,2.1,4.2,.503,2.8,7.5,.370,2.9,3.4,.850,15.5,3.3,4.6,1.7,0.1,2.1,2.1,UTA,5.6,0.6,0.7,0.2,0.2,0.9,21,SG
722,Chandler Hutchison,2019.0,Boise State,31,31.0,6.6,13.9,.475,5.1,9.8,.523,1.5,4.1,.359,5.3,7.2,.728,20.0,7.7,3.5,1.5,0.3,3.4,2.4,CHI,5.2,4.2,0.8,0.5,0.1,0.6,22,SF
723,Aaron Holiday,2019.0,UCLA,33,37.7,6.4,13.9,.461,3.8,7.7,.486,2.7,6.2,.429,4.8,5.8,.828,20.3,3.7,5.8,1.3,0.2,3.8,2.6,IND,5.9,1.3,1.7,0.4,0.3,0.8,23,PG
724,Moritz Wagner,2019.0,Michigan,39,27.6,5.5,10.5,.528,3.9,6.4,.614,1.6,4.1,.394,1.9,2.8,.694,14.6,7.1,0.8,1.0,0.5,1.4,3.1,LAL,4.8,2.0,0.6,0.3,0.3,0.9,25,C
725,Landry Shamet,2019.0,Wichita State,32,31.7,4.8,9.8,.489,2.2,3.9,.560,2.6,5.9,.442,2.7,3.2,.825,14.9,3.2,5.2,0.7,0.2,2.1,1.9,TOT,9.1,1.7,1.5,0.5,0.1,0.6,26,SG
726,Jacob Evans,2019.0,Cincinnati,36,30.8,4.5,10.5,.427,2.8,6.0,.470,1.7,4.5,.370,2.4,3.2,.754,13.0,4.7,3.1,1.3,1.0,1.8,2.0,GSW,1.3,0.8,0.8,0.2,0.1,0.4,28,SG
727,Omari Spellman,2019.0,Villanova,40,28.1,4.0,8.4,.476,2.4,4.7,.511,1.6,3.8,.433,1.2,1.8,.700,10.9,8.0,0.8,0.7,1.5,1.0,2.3,ATL,5.9,4.2,1.0,0.6,0.5,0.7,30,PF
728,Jevon Carter,2019.0,West Virginia,37,35.5,5.8,13.8,.422,3.7,8.5,.441,2.1,5.3,.393,3.6,4.2,.858,17.3,4.6,6.6,3.0,0.4,2.6,3.0,MEM,4.4,1.7,1.8,0.7,0.3,0.8,32,PG
729,Jalen Brunson,2019.0,Villanova,40,31.8,6.8,13.0,.521,4.6,7.7,.599,2.2,5.3,.408,3.3,4.1,.802,18.9,3.1,4.6,0.9,0.0,1.8,2.0,DAL,9.3,2.3,3.2,0.5,0.1,1.2,33,PG
730,Melvin Frazier,2019.0,Tulane,30,34.4,6.0,10.7,.556,4.8,7.7,.623,1.2,3.0,.385,2.8,3.9,.712,15.9,5.6,2.9,2.2,0.7,2.6,2.0,ORL,1.5,0.5,0.1,0.1,0.0,0.1,35,SG
731,Khyri Thomas,2019.0,Creighton,33,31.7,5.6,10.4,.538,3.7,5.8,.639,1.9,4.6,.411,2.0,2.6,.788,15.1,4.4,2.8,1.7,0.2,1.8,1.9,DET,2.3,0.8,0.3,0.3,0.2,0.2,38,SG
732,Jarred Vanderbilt,2019.0,Kentucky,14,17.0,2.1,4.9,.426,2.1,4.8,.433,0.0,0.1,.000,1.7,2.7,.632,5.9,7.9,1.0,0.4,0.8,1.1,2.6,DEN,1.4,1.4,0.2,0.4,0.1,0.5,41,PF
733,Hamidou Diallo,2019.0,Kentucky,37,24.8,3.6,8.5,.428,2.9,6.4,.458,0.7,2.1,.338,2.1,3.4,.616,10.0,3.6,1.2,0.8,0.4,1.4,2.6,OKC,3.7,1.9,0.3,0.4,0.2,0.5,45,SG
734,Sviatoslav Mykhailiuk,2019.0,Kansas,39,34.5,5.3,12.1,.434,2.3,5.5,.423,2.9,6.6,.444,1.2,1.4,.804,14.6,3.9,2.7,1.2,0.3,1.7,2.5,TOT,3.2,0.9,0.9,0.3,0.0,0.5,47,SF
735,Keita Bates-Diop,2019.0,Ohio State,34,33.1,7.3,15.1,.480,5.3,9.7,.547,1.9,5.4,.359,3.3,4.1,.794,19.8,8.7,1.6,0.9,1.6,1.8,1.7,MIN,5.0,2.8,0.6,0.6,0.5,0.5,48,SF
736,Chimezie Metu,2019.0,USC,34,31.0,6.0,11.5,.523,5.7,10.4,.548,0.4,1.2,.300,3.3,4.5,.730,15.7,7.4,1.6,0.8,1.7,2.0,2.6,SAS,1.8,1.2,0.4,0.2,0.1,0.5,49,PF
737,Alize Johnson,2019.0,Missouri State,33,31.2,5.2,12.1,.430,4.0,7.7,.516,1.2,4.4,.281,3.3,4.4,.759,15.0,11.6,2.8,0.5,0.4,2.2,2.1,IND,0.9,1.4,0.1,0.1,0.2,0.0,50,PF
741,Thomas Welsh,2019.0,UCLA,33,33.2,4.9,10.1,.485,3.5,6.7,.527,1.4,3.4,.402,1.5,1.8,.828,12.6,10.8,1.4,0.7,0.9,1.0,2.4,DEN,1.6,0.4,0.5,0.0,0.0,0.1,58,C
742,George King,2019.0,Colorado,32,28.5,4.4,10.0,.445,2.5,5.1,.494,1.9,4.9,.395,2.1,2.7,.782,12.9,7.8,1.1,0.5,0.7,2.0,2.4,PHO,0.0,1.0,0.0,0.0,0.0,0.0,59,SF
743,Kostas Antetokounmpo,2019.0,Dayton,29,15.1,2.0,3.5,.574,1.9,3.0,.651,0.1,0.5,.133,1.1,2.2,.516,5.2,2.9,0.4,0.2,1.1,1.3,2.3,DAL,1.0,0.5,0.0,1.0,0.0,0.5,60,PF
744,Zion Williamson,2020.0,Duke,33,30.0,9.0,13.2,0.68,8.2,11.0,0.747,0.7,2.2,0.33799999999999997,3.9,6.2,0.64,22.6,8.9,2.1,2.1,1.8,2.4,2.1,,,,,,,,1,PF
745,RJ Barrett,2020.0,Duke,38,35.3,8.4,18.5,0.45399999999999996,6.5,12.2,0.529,1.9,6.2,0.308,3.9,5.9,0.665,22.6,7.6,4.3,0.9,0.4,3.2,1.8,,,,,,,,3,SG
746,DeAndre Hunter,2020.0,Virginia,38,32.5,5.4,10.4,0.52,4.2,7.6,0.55,1.2,2.8,0.43799999999999994,3.2,4.1,0.7829999999999999,15.2,5.1,2.0,0.6,0.6,1.4,2.0,,,,,,,,4,SF
747,Darius Garland,2020.0,Vanderbilt,5,27.8,5.8,10.8,0.537,3.6,6.2,0.581,2.2,4.6,0.478,2.4,3.2,0.75,16.2,3.8,2.6,0.8,0.4,3.0,1.4,,,,,,,,5,PG
748,Coby White,2020.0,UNC,35,28.5,5.4,12.7,0.423,3.0,6.1,0.5,2.3,6.6,0.353,3.0,3.7,0.8,16.1,3.5,4.1,1.1,0.3,2.7,1.9,,,,,,,,6,PG
749,Jarrett Culver,2020.0,Texas Tech,38,32.5,6.7,14.5,0.461,5.4,10.3,0.526,1.3,4.2,0.304,3.9,5.5,0.7070000000000001,18.5,6.4,3.7,1.5,0.6,2.7,1.9,,,,,,,,7,SG
750,Bruno Fernando,2020.0,Maryland,34,30.0,5.1,8.4,0.607,5.0,8.1,0.618,0.1,0.3,0.3,3.3,4.3,0.779,13.6,10.6,2.0,0.6,1.9,2.8,2.7,,,,,,,,9,C
751,Mfiondu Kabengele,2020.0,Florida State,37,21.6,4.4,8.8,0.502,3.8,7.1,0.534,0.6,1.8,0.369,3.7,4.9,0.7609999999999999,13.2,5.9,0.3,0.6,1.5,1.3,2.6,,,,,,,,10,PF
752,Nassir Little,2020.0,UNC,36,18.2,3.6,7.6,0.478,3.3,6.2,0.527,0.4,1.4,0.26899999999999996,2.1,2.8,0.77,9.8,4.6,0.7,0.5,0.5,1.3,1.6,,,,,,,,11,SF
753,Rui Hachimura,2020.0,Gonzaga,37,30.2,7.4,12.6,0.591,7.0,11.6,0.606,0.4,1.0,0.41700000000000004,4.4,6.0,0.7390000000000001,19.7,6.5,1.5,0.9,0.7,1.8,2.0,,,,,,,,14,SF
754,Bol Bol,2020.0,Oregon,9,29.8,8.2,14.7,0.561,6.8,11.9,0.57,1.4,2.8,0.52,3.1,4.1,0.757,21.0,9.6,1.0,0.8,2.7,2.0,1.7,,,,,,,,15,C
755,PJ Washington,2020.0,Kentucky,35,29.3,5.4,10.4,0.522,4.5,8.2,0.5489999999999999,0.9,2.2,0.423,3.4,5.1,0.6629999999999999,15.2,7.5,1.8,0.8,1.2,2.0,2.5,,,,,,,,18,PF
756,Nicolas Claxton,2020.0,Georgia,32,31.6,4.3,9.3,0.46,3.7,7.3,0.509,0.6,2.0,0.281,3.8,6.0,0.6409999999999999,13.0,8.6,1.8,1.1,2.5,2.1,2.8,,,,,,,,19,PF
757,Tyler Herro,2020.0,Kentucky,37,32.6,5.0,10.9,0.462,3.4,6.3,0.5379999999999999,1.6,4.6,0.355,2.4,2.5,0.935,14.0,4.5,2.5,1.1,0.3,1.6,1.3,,,,,,,,21,SG
758,Keldon Johnson,2020.0,Kentucky,37,30.7,4.6,10.1,0.461,3.4,6.9,0.498,1.2,3.2,0.381,2.9,4.2,0.703,13.5,5.9,1.6,0.8,0.2,1.6,2.2,,,,,,,,22,SG
759,Romeo Langford,2020.0,Indiana,32,34.1,5.5,12.3,0.44799999999999995,4.5,8.4,0.53,1.1,3.9,0.272,4.4,6.1,0.722,16.5,5.4,2.3,0.8,0.8,2.1,1.9,,,,,,,,24,SG
760,Dylan Windler,2020.0,Belmont,33,33.2,7.4,13.6,0.54,4.3,6.6,0.659,3.0,7.1,0.429,3.5,4.2,0.847,21.3,10.8,2.5,1.4,0.6,2.1,2.1,,,,,,,,28,SG
761,Matisse Thybulle,2020.0,Washington,36,31.1,3.1,7.5,0.415,1.8,3.3,0.555,1.3,4.2,0.305,1.6,1.9,0.851,9.1,3.1,2.1,3.5,2.3,1.8,2.8,,,,,,,,29,SG
762,Naz Reid,2020.0,LSU,34,27.2,5.0,10.7,0.46799999999999997,4.2,8.3,0.509,0.8,2.5,0.33299999999999996,2.7,3.8,0.727,13.6,7.2,0.9,0.7,0.7,2.5,3.2,,,,,,,,30,C
763,Ty Jerome,2020.0,Virginia,37,33.9,4.8,11.1,0.435,2.7,5.7,0.469,2.1,5.4,0.39899999999999997,1.8,2.5,0.736,13.6,4.2,5.5,1.5,0.0,1.6,1.7,,,,,,,,31,PG
