Name,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Position,Hometown,High School,Height,Weight
Jaylen Nowell,Washington,Pac-12,36,36,34.4,6.1,12.1,.502,4.6,8.8,.525,1.4,3.2,.440,2.6,3.4,.779,1.0,4.3,5.3,3.1,1.3,0.3,2.9,2.3,16.2,Guard,"Seattle, WA",Garfield High School,6-4,200
Sagaba Konate,West Virginia,Big 12,8,7,24.1,4.6,10.6,.435,3.5,7.8,.452,1.1,2.9,.391,3.3,4.0,.813,1.9,6.1,8.0,1.4,0.8,2.8,2.1,3.3,13.6,Forward,"Bamako, Mali",Kennedy Catholic High School,6-8,250
Jaylen Hands,UCLA,Pac-12,33,33,31.2,4.8,11.6,.413,2.8,6.2,.447,2.0,5.4,.373,2.6,3.3,.780,0.4,3.3,3.7,6.1,1.3,0.2,3.2,1.2,14.2,Guard,"San Diego, CA",Foothills Christian,6-3,180
Jaylen Hoard,Wake Forest,ACC,31,30,30.2,4.9,10.7,.458,4.5,9.0,.502,0.4,1.7,.226,2.9,4.1,.717,2.6,5.0,7.6,1.5,0.6,0.6,2.5,2.2,13.1,Forward,"Carnon, France",Wesleyan Christian Academy,6-8,215
Miye Oni,Yale,Ivy,29,28,31.0,5.8,13.1,.441,3.8,7.9,.487,1.9,5.2,.371,3.7,4.7,.793,0.7,5.6,6.3,3.6,0.9,1.3,2.6,2.7,17.1,Guard,"Northridge, CA",Suffield Academy,6-6,210
Admiral Schofield,Tennessee,SEC,37,37,31.8,6.4,13.6,.474,4.4,8.8,.505,2.0,4.8,.418,1.6,2.3,.698,1.2,5.0,6.1,2.0,0.9,0.5,1.9,2.5,16.5,Guard-Forward,"Zion, IL",Zion-Benton TownshiP HS,6-6,241
Ignas Brazdeikis,Michigan,Big Ten,37,37,29.6,5.1,11.0,.462,3.6,7.1,.500,1.5,3.9,.392,3.1,4.1,.773,1.2,4.3,5.4,0.8,0.7,0.5,1.2,2.1,14.8,Forward,"Mono, Canada",Orangeville Prep,6-7,215
Ja Morant,Murray State,OVC,33,33,36.6,8.0,16.1,.499,6.3,11.3,.556,1.7,4.8,.363,6.7,8.2,.813,1.2,4.5,5.7,10.0,1.8,0.8,5.2,1.5,24.5,Guard,"Dalzell, SC",Crestwood High School,6-3,175
Cam Reddish,Duke,ACC,36,35,29.7,4.3,12.0,.356,1.8,4.6,.394,2.5,7.4,.333,2.4,3.2,.772,0.6,3.1,3.7,1.9,1.6,0.6,2.7,2.4,13.5,Forward,"Norristown, PA",Westtown School,6-8,218
Nickeil Alexander-Walker,Virginia Tech,ACC,34,34,34.3,5.6,11.8,.474,3.9,7.2,.537,1.7,4.6,.374,3.3,4.2,.778,0.5,3.6,4.1,4.0,1.9,0.5,2.9,2.3,16.2,Guard,"Toronto, Canada",Hamilton Heights Christian Academy,6-5,205
Kevin PorterJr,USC,Pac-12,21,4,22.1,3.5,7.5,.471,2.2,4.2,.517,1.3,3.2,.412,1.1,2.2,.522,1.0,3.0,4.0,1.4,0.8,0.5,1.9,2.1,9.5,Guard,"South Seattle, WA",Rainier Beach HS,6-6,218
Brandon Clarke,Gonzaga,WCC,37,36,28.1,6.9,10.1,.687,6.8,9.7,.705,0.1,0.4,.267,2.9,4.2,.694,3.1,5.5,8.6,1.9,1.2,3.2,1.5,2.1,16.9,Forward-Guard,"Phoenix, AZ",Desert Vista HS,6-8,215
Jaxson Hayes,Texas,Big 12,32,21,23.3,3.8,5.3,.728,3.8,5.3,.728,0.0,0.0,,2.3,3.1,.740,1.8,3.3,5.0,0.3,0.6,2.2,0.9,3.3,10.0,Forward,"Loveland, OH",Cincinnati Moeller HS,6-11,220
Jalen McDaniels,San Diego State,MWC,34,34,31.0,6.2,13.4,.466,5.5,11.2,.495,0.7,2.2,.320,2.7,3.7,.732,2.0,6.3,8.3,2.1,1.1,0.5,2.4,2.9,15.9,Forward,"Federal Way, WA",Federal Way High School,6-10,195
