,Name,Year,School,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,TRB,AST,STL,BLK,TOV,PF,NBATM,NBAPTS,NBATRB,NBAAST,NBASTL,NBABLK,NBATOV,Pick,Position
48,Michael Bradley,2002,Villanova,31,34,8.2,11.8,0.692,7.8,10.7,0.727,0.4,1.1,0,4,6.8,0.59,20.8,9.8,2.6,0.9,1.8,2.8,2.9,TOR,1.2,0.9,0.1,0,0.2,0.2,17,PF
49,Jason Collins,2002,Stanford,34,26.3,4.9,8,0.62,4.6,7.2,0.637,0.4,0.8,0,4.3,5.4,0.784,14.5,7.8,1.5,0.8,1.3,1.6,2.3,NJN,4.5,3.9,1.1,0.4,0.6,0.9,18,C
50,Zach Randolph,2002,Michigan State,33,19.8,4.2,7.1,0.587,4.2,7.1,0.59,0,0,0,2.4,3.8,0.635,10.8,6.7,1,0.7,0.7,1.6,1.8,POR,2.8,1.7,0.3,0.2,0.1,0.4,19,PF
51,Brendan Haywood,2002,UNC,33,27.3,4.7,7.9,0.592,4.7,7.9,0.592,0,0,0,2.9,5.6,0.516,12.3,7.3,1.3,0.5,3.6,2,2.9,WAS,5.1,5.2,0.5,0.3,1.5,0.8,20,C
52,Joseph Forte,2002,UNC,33,34.7,7.6,16.9,0.45,5.9,12.5,0.476,1.7,4.4,0.377,4,4.7,0.853,20.9,6.1,3.5,2,0.4,2.5,1.8,BOS,0.8,0.8,0.8,0.3,0,0.4,21,SG
53,Jeryl Sasser,2002,SMU,29,34.9,5.9,14.9,0.394,4.7,10.7,0.437,1.2,4.2,0.287,4,5.6,0.718,17,8.3,0.8,1.4,0.6,2.1,2.1,ORL,1.4,1,0.3,0.4,0,0.3,22,SG
54,Brandon Armstrong,2002,Pepperdine,31,33.1,7.7,17.3,0.447,5.3,10.9,0.484,2.5,6.4,0.384,4.1,5,0.826,22.1,3.3,1.5,1.5,0.2,2.1,2.7,NJN,1.8,0.5,0.2,0.2,0,0.2,23,SG
55,Gerald Wallace,2002,Alabama,36,22.9,3.5,8,0.438,3.2,6.3,0.511,0.3,1.8,0.175,2.4,4.3,0.568,9.8,6,1.5,1.2,1,2.4,2.4,SAC,3.2,1.6,0.5,0.4,0.1,0.4,25,SF
56,Samuel Dalembert,2002,Seton Hall,29,21.4,3.4,6.1,0.565,3.4,6.1,0.565,0,0,0,1.4,2.5,0.556,8.3,5.7,0.3,0.5,2.1,1.9,3.3,PHI,1.5,2,0.1,0.2,0.4,0.4,26,C
57,Jamaal Tinsley,2002,Iowa State,31,32.2,4.5,11.2,0.399,3.3,8.1,0.406,1.2,3.1,0.381,4.1,6,0.692,14.3,3.8,6,2.5,0.6,3.8,3,IND,9.4,3.7,8.1,1.7,0.5,3.4,27,PG
